method,run,entropy_with_missing,entropy_without_missing,fvi,mpd,fvo,k
random_family,1,1.174511871240154,0.6729587801658267,0.9354066985645934,8.324610941996168,0.6377817405944414,20
random_family,2,1.147903989333209,0.6619840019452605,0.9258373205741627,8.348487584590904,0.6286659647252749,20
random_family,3,1.1523284368731868,0.6613507039503485,0.9330143540669856,8.124156326679099,0.6495090477739042,20
random_family,4,1.1907326141824497,0.643939402200724,0.916267942583732,8.267971679647738,0.6482341824885544,20
random_family,5,1.2113254903437178,0.6980750913814282,0.937799043062201,8.721664008404048,0.6120146606400629,20
random_family,6,1.136993226681401,0.6760520680183365,0.937799043062201,8.23050256745604,0.6399106264543317,20
random_family,7,1.1713208044256653,0.6767088655574462,0.9330143540669856,8.374921933657436,0.6339262191522934,20
random_family,8,1.1503805266038505,0.6549832032286772,0.9330143540669856,8.165081266263597,0.6688074628525363,20
random_family,9,1.148093154074554,0.6661712426467464,0.9330143540669856,8.327969622318708,0.6458222737267546,20
convenience,0,0.9501386686813522,0.6511004932037384,0.937799043062201,8.0790945800388,0.6710432217374965,25
mdp,0,1.3279487787803288,0.7901526583893573,0.9593301435406698,9.595028609068178,0.5183152135941509,25
mmdp,0,1.3475304342494048,0.7660237251357889,0.9688995215311005,9.18930940654058,0.5647229555876722,25
random,0,1.1713302752202153,0.6519680394783863,0.9282296650717703,8.186669427111024,0.6446022610444352,25
random,1,1.1403062461358455,0.6391475594642981,0.9210526315789473,7.977663585014026,0.6812147133134772,25
random,2,1.0534199408242921,0.656449930838376,0.9401913875598086,8.142562154272685,0.6551532883785584,25
random,3,1.2107924577830578,0.6564223923131043,0.930622009569378,8.210779892982536,0.6506074313247832,25
random,4,1.1975547802027688,0.6754699368963188,0.9449760765550239,8.349048931130207,0.6500762463978008,25
random,5,1.1267643912672394,0.6655802330593845,0.9473684210526315,8.277348560147944,0.637368309321146,25
random,6,1.108947308688678,0.6411489135592915,0.9282296650717703,8.015140185918238,0.6649333816973275,25
random,7,1.2210561593577234,0.6636218497306614,0.9234449760765551,8.30271281172287,0.6195318335875721,25
random,8,1.2258882974505576,0.7034685922586769,0.9497607655502392,8.407011745429388,0.6300207643522708,25
